title,viewCount,likeCount,publishTime
Tên trộm chuyên nghiệp CrisDevilGamer #shorts,11589,679,2023-07-22
Chiến đấu với người ngoài hành tinh trong GTA V CrisDevilGamer #shorts,65796,4311,2023-07-21
Tiệm net trong GTA V CrisDevilGamer #shorts,79366,3610,2023-07-20
Chinh phục nhà hoang ở Thái Lan cùng CrisDevilGamer và Mai Quỳnh Anh,118012,3720,2023-07-19
CrisDevilGamer tột cùng nỗi đau #shorts,40077,1344,2023-07-15
Thử thách nói EA Sport team CrisDevilGamer #shorts,598025,15155,2023-07-14
Sao nhập ngũ trong GTA V CrisDevilGamer #shorts,57572,2542,2023-07-13
Chuyện tình Amanda và Trevor CrisDevilGamer #shorts,34123,1785,2023-07-12
Chuyện tình Amanda và Trevor phần 1 CrisDevilGamer #shorts,67910,2759,2023-07-11
Cách vượt qua Lazer của CrisDevilGamer #shorts,64946,2009,2023-07-10
Cris Devil Gamer mở quán cà phê,173907,5437,2023-07-08
Harry Potter trong GTA V CrisDevilGamer #shorts,63971,2821,2023-07-07
Tàu lượn cao nhất thế giới cùng CrisDevilGamer và Mai Quỳnh Anh,365786,7493,2023-07-06
Best cosplay ăn trộm Nhật CrisDevilGamer #shorts,52511,1907,2023-07-04
Phi vụ bạc tỷ của CrisDevilgamer,248639,6911,2023-07-01
Pha xử lí mù mắt của CrisDevilGamer #shorts,50626,1765,2023-06-29
Pha Jump Shot của CrisDevilGamer trong Valorant #shorts,38482,1402,2023-06-28
Cris và Mai Quỳnh Anh 24h ăn sầu riêng,239806,7305,2023-06-27
CrisDevilGamer lần đầu chơi Valorant #shorts,130200,3716,2023-06-23
CrisDevilGamer mở thẻ cùng em trai ra CR7 +8,327609,6770,2023-06-22
Pha mở thẻ quê ơi là quê của CrisDevilGamer #shorts,98329,4023,2023-06-18
CrisDevilGamer LẦN ĐẦU CHƠI VALORANT,379941,12834,2023-06-17
CrisDevilGamer mukbang cùng mẹ Mai Quỳnh Anh #shorts,185786,6944,2023-06-16
Quán hủ tiếu bất ổn của CrisDevilGamer #shorts,54109,1948,2023-06-15
Quán ăn bất ổn của CrisDevilGamer,261534,6724,2023-06-14
CrisDevilGamer và mẹo mở ra anh 7 Cristiano Ronaldo #shorts,456084,13891,2023-06-08
CrisDevilGamer mở ra Ro Béo #shorts,228966,9436,2023-06-03
Món quà sinh nhật bất ổn của CrisDevilGamer,196576,7535,2023-06-01
CrisDevilGamer chơi game tệ nhất 2023,211320,4285,2023-05-30
Mẹo mở thẻ khủng của CrisDevilGamer và Mai Quỳnh Anh,395723,8950,2023-05-25
Màn mở thẻ tiên tri của CrisDevilGamer và Mai Quỳnh Anh #shorts,845451,22081,2023-05-22
CrisDevilGamer và Mai Quỳnh Anh mở thẻ TOTY +5 #shorts,867788,22987,2023-05-14
CrisDevilGamer so tài với Tiến Linh,810782,14933,2023-05-13
Cách đột nhập tòa nhà FIB trong GTA V của CrisDevilGamer #shorts,214466,9820,2023-05-11
CrisDevilGamer thách đấu Smoker #shorts,142136,4114,2023-05-10
CrisDevilGamer và Mai Quỳnh Anh mở thẻ toàn cầu thủ khủng,767223,15108,2023-05-09
Cách tàng hình trong GTA V của CrisDevilGamer #shorts,282749,13877,2023-05-05
Thánh liếm CrisDevilGamer #shorts,318655,9891,2023-05-04
Lần đầu ăn Sushi 1 mét siêu dài CrisDevilGamer x Mai Quỳnh Anh,609423,12311,2023-05-03
Cách lấy xe tank trong GTA V của CrisDevilGamer #shorts,939747,37439,2023-05-02
CrisDevilGamer thách đấu Sanji #shorts,113620,4851,2023-05-01
Có thể bạn biết rồi phần 7 CrisDevilGamer #shorts,616703,21670,2023-04-30
CrisDevilGamer chiến thắng Doors Super Hard Mode,324075,6541,2023-04-29
CrisDevilGamer ăn trái ác quỷ Blox Fruits Chopper và Lucci CP9,388179,7174,2023-04-22
Cay thế nhợ CrisDevilGamer #shorts,2183175,67455,2023-04-13
Ảo thật đấy CrisDevilGamer #shorts,467383,17367,2023-04-12
Huyền Thoại Mario một vé về tuổi thơ của CrisDevilGamer,294492,7560,2023-04-11
CrisDevilGamer giả vờ bị hù và cái kết #shorts,183449,6386,2023-04-08
CrisDevilGamer nghe theo bạn và cái kết bất ổn #shorts,82897,3457,2023-04-07
Cách biến thành người cá trong Minecraft CrisDevilGamer #shorts,102483,4533,2023-04-06
